nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,pullrequestsCount
psf/requests-html,https://github.com/psf/requests-html,13138,65,3,462
davidsandberg/facenet,https://github.com/davidsandberg/facenet,13023,31,0,566
heartexlabs/label-studio,https://github.com/heartexlabs/label-studio,12906,120,0,2329
microsoft/nni,https://github.com/microsoft/nni,12848,10000,24,2982
searx/searx,https://github.com/searx/searx,12823,180,25,4582
Rapptz/discord.py,https://github.com/Rapptz/discord.py,12766,365,8,4819
tgbot-collection/YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,12755,9,0,419
flairNLP/flair,https://github.com/flairNLP/flair,12755,200,13,5522
sivel/speedtest-cli,https://github.com/sivel/speedtest-cli,12734,9,0,299
codelucas/newspaper,https://github.com/codelucas/newspaper,12726,96,28,651
OpenEthan/SMSBoom,https://github.com/OpenEthan/SMSBoom,12687,17,5,160
Python-World/python-mini-projects,https://github.com/Python-World/python-mini-projects,12629,125,0,987
networkx/networkx,https://github.com/networkx/networkx,12609,602,0,7281
netbox-community/netbox,https://github.com/netbox-community/netbox,12486,254,43,11324
programthink/zhao,https://github.com/programthink/zhao,12442,2,0,480
mouredev/Hello-Python,https://github.com/mouredev/Hello-Python,12427,1,0,49
leisurelicht/wtfpython-cn,https://github.com/leisurelicht/wtfpython-cn,12372,1,0,58
wilsonfreitas/awesome-quant,https://github.com/wilsonfreitas/awesome-quant,12352,71,0,336
ShangtongZhang/reinforcement-learning-an-introduction,https://github.com/ShangtongZhang/reinforcement-learning-an-introduction,12343,32,0,314
wistbean/learn_python3_spider,https://github.com/wistbean/learn_python3_spider,12290,8,0,72
oobabooga/text-generation-webui,https://github.com/oobabooga/text-generation-webui,12267,103,294,1659
microsoft/unilm,https://github.com/microsoft/unilm,12222,10000,0,934
microsoft/Bringing-Old-Photos-Back-to-Life,https://github.com/microsoft/Bringing-Old-Photos-Back-to-Life,12214,10000,0,108
ansible/awx,https://github.com/ansible/awx,12191,448,0,33276
waditu/tushare,https://github.com/waditu/tushare,12134,27,0,412
mail-in-a-box/mailinabox,https://github.com/mail-in-a-box/mailinabox,12044,193,3,1918
shengqiangzhang/examples-of-web-crawlers,https://github.com/shengqiangzhang/examples-of-web-crawlers,12037,5,0,199
apple/ml-stable-diffusion,https://github.com/apple/ml-stable-diffusion,12011,39,0,46
albumentations-team/albumentations,https://github.com/albumentations-team/albumentations,11965,126,22,777
nltk/nltk,https://github.com/nltk/nltk,11920,382,17,14441
pjialin/py12306,https://github.com/pjialin/py12306,11910,18,2,215
Miserlou/Zappa,https://github.com/Miserlou/Zappa,11898,222,15,2916
idank/explainshell,https://github.com/idank/explainshell,11893,19,0,275
PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,11891,158,167,14455
tiangolo/full-stack-fastapi-postgresql,https://github.com/tiangolo/full-stack-fastapi-postgresql,11845,17,0,113
fauxpilot/fauxpilot,https://github.com/fauxpilot/fauxpilot,11841,13,1,153
kitao/pyxel,https://github.com/kitao/pyxel,11831,53,0,4352
ddbourgin/numpy-ml,https://github.com/ddbourgin/numpy-ml,11731,13,2,348
alexjc/neural-enhance,https://github.com/alexjc/neural-enhance,11724,10,0,102
SFTtech/openage,https://github.com/SFTtech/openage,11719,173,50,4450
dmlc/dgl,https://github.com/dmlc/dgl,11692,272,0,3015
postmanlabs/httpbin,https://github.com/postmanlabs/httpbin,11687,155,0,841
wifiphisher/wifiphisher,https://github.com/wifiphisher/wifiphisher,11678,42,0,798
PaddlePaddle/PaddleHub,https://github.com/PaddlePaddle/PaddleHub,11672,87,1,2665
tonybeltramelli/pix2code,https://github.com/tonybeltramelli/pix2code,11666,4,0,26
meolu/walle-web,https://github.com/meolu/walle-web,11643,51,202,1206
beetbox/beets,https://github.com/beetbox/beets,11611,446,92,11060
PySimpleGUI/PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI,11602,19,142,6760
jina-ai/clip-as-service,https://github.com/jina-ai/clip-as-service,11595,97,1,1954
spotDL/spotify-downloader,https://github.com/spotDL/spotify-downloader,11543,124,4,2241
asciinema/asciinema,https://github.com/asciinema/asciinema,11528,47,1,932
s0md3v/XSStrike,https://github.com/s0md3v/XSStrike,11527,24,2,467
allenai/allennlp,https://github.com/allenai/allennlp,11496,269,6,2719
iterative/dvc,https://github.com/iterative/dvc,11488,278,128,8695
donnemartin/awesome-aws,https://github.com/donnemartin/awesome-aws,11459,70,0,633
geohot/tinygrad,https://github.com/geohot/tinygrad,11447,106,0,1844
redis/redis-py,https://github.com/redis/redis-py,11440,366,23,2184
