nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
joke2k/faker,https://github.com/joke2k/faker,15759,479,0,3334,32.0,1221.0,Python,NaoTipada,2.7305487305487306,4812.0,949.0,1684.2027777777776,32.0
ArchiveBox/ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,15689,96,0,3033,0.0,299.0,Python,NaoTipada,10.1438127090301,1630.0,815.0,0.0,0.0
microsoft/recommenders,https://github.com/microsoft/recommenders,15628,10000,26,8392,181.0,1158.0,Python,NaoTipada,7.246977547495682,2929.0,488.0,255.3325,207.0
rsms/inter,https://github.com/rsms/inter,15327,22,2,1682,63.0,71.0,Python,NaoTipada,23.690140845070424,2659.0,1684.0,592.6519444444444,65.0
python/mypy,https://github.com/python/mypy,15319,619,1419,11182,2254.0,6183.0,Python,NaoTipada,1.8085071971534847,23288.0,1816.0,5.931666666666667,3673.0
InstaPy/InstaPy,https://github.com/InstaPy/InstaPy,15297,255,1,3346,207.0,1160.0,Python,NaoTipada,2.8844827586206896,2048.0,347.0,1096.720277777778,208.0
karpathy/minGPT,https://github.com/karpathy/minGPT,15113,12,0,94,0.0,61.0,Python,NaoTipada,1.540983606557377,120.0,6.0,0.0,0.0
kovidgoyal/calibre,https://github.com/kovidgoyal/calibre,15087,280,0,47022,0.0,1895.0,Python,NaoTipada,24.813720316622693,77200.0,10506.0,0.0,0.0
wting/autojump,https://github.com/wting/autojump,15034,56,7,839,39.0,191.0,Python,NaoTipada,4.392670157068062,549.0,26.0,822.4330555555556,46.0
Kr1s77/awesome-python-login-model,https://github.com/Kr1s77/awesome-python-login-model,15031,10,0,175,0.0,34.0,Python,NaoTipada,5.147058823529412,625.0,312.0,0.0,0.0
twintproject/twint,https://github.com/twintproject/twint,14919,60,1,845,49.0,248.0,Python,NaoTipada,3.407258064516129,450.0,238.0,18.60305555555556,50.0
Delgan/loguru,https://github.com/Delgan/loguru,14847,41,7,714,29.0,114.0,Python,NaoTipada,6.2631578947368425,1892.0,282.0,64.2675,36.0
jerryjliu/llama_index,https://github.com/jerryjliu/llama_index,14813,152,32,788,24.0,912.0,Python,NaoTipada,0.8640350877192983,2901.0,3509.0,68.62166666666667,56.0
h2y/Shadowrocket-ADBlock-Rules,https://github.com/h2y/Shadowrocket-ADBlock-Rules,14764,8,0,203,0.0,15.0,Python,NaoTipada,13.533333333333331,71.0,10.0,0.0,0.0
wagtail/wagtail,https://github.com/wagtail/wagtail,14701,659,0,15167,1309.0,5837.0,Python,NaoTipada,2.598423847867055,20695.0,2200.0,46.835,1309.0
onnx/onnx,https://github.com/onnx/onnx,14663,270,77,2342,351.0,2742.0,Python,NaoTipada,0.8541210795040116,6270.0,765.0,167.97583333333333,428.0
huggingface/diffusers,https://github.com/huggingface/diffusers,14447,434,79,2290,541.0,1921.0,Python,NaoTipada,1.1920874544508069,16332.0,1260.0,138.56166666666667,620.0
mnielsen/neural-networks-and-deep-learning,https://github.com/mnielsen/neural-networks-and-deep-learning,14394,10,0,235,0.0,48.0,Python,NaoTipada,4.895833333333333,198.0,56.0,0.0,0.0
openai/baselines,https://github.com/openai/baselines,14341,466,5,347,8.0,370.0,Python,NaoTipada,0.9378378378378378,2336.0,306.0,161.86597222222224,13.0
jupyter/jupyter,https://github.com/jupyter/jupyter,14318,96,0,758,0.0,248.0,Python,NaoTipada,3.056451612903226,6.0,1.0,0.0,0.0
RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,14303,421,93,4466,237.0,1668.0,Python,NaoTipada,2.6774580335731413,5790.0,1066.0,754.2434722222222,330.0
deepinsight/insightface,https://github.com/deepinsight/insightface,14280,47,2,2236,1.0,138.0,Python,NaoTipada,16.202898550724637,15171.0,3348.0,519.9063888888888,3.0
ManimCommunity/manim,https://github.com/ManimCommunity/manim,14243,350,0,5724,0.0,1841.0,Python,NaoTipada,3.10917979359044,6360.0,71.0,0.0,0.0
