nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,13567,238,27,4379,27.0,669.0,Python,NaoTipada
aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,13528,644,170,9019,415.0,4402.0,Python,NaoTipada
aleju/imgaug,https://github.com/aleju/imgaug,13527,25,0,2913,7.0,333.0,Python,NaoTipada
apprenticeharper/DeDRM_tools,https://github.com/apprenticeharper/DeDRM_tools,13526,58,0,533,1.0,134.0,Python,NaoTipada
pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,13514,37,1,1618,51.0,452.0,Python,NaoTipada
youfou/wxpy,https://github.com/youfou/wxpy,13487,4,1,304,6.0,20.0,Python,NaoTipada
plotly/plotly.py,https://github.com/plotly/plotly.py,13404,264,58,5897,101.0,1495.0,Python,NaoTipada
NVlabs/stylegan,https://github.com/NVlabs/stylegan,13392,16,0,15,0.0,23.0,Python,NaoTipada
Ciphey/Ciphey,https://github.com/Ciphey/Ciphey,13340,38,11,1886,88.0,449.0,Python,NaoTipada
ranger/ranger,https://github.com/ranger/ranger,13329,199,148,4999,154.0,862.0,Python,NaoTipada
RunaCapital/awesome-oss-alternatives,https://github.com/RunaCapital/awesome-oss-alternatives,13290,94,0,372,0.0,152.0,Python,NaoTipada
horovod/horovod,https://github.com/horovod/horovod,13261,173,202,1318,277.0,1548.0,Python,NaoTipada
gunthercox/ChatterBot,https://github.com/gunthercox/ChatterBot,13236,90,7,1848,58.0,707.0,Python,NaoTipada
hindupuravinash/the-gan-zoo,https://github.com/hindupuravinash/the-gan-zoo,13216,22,0,175,0.0,74.0,Python,NaoTipada
google/yapf,https://github.com/google/yapf,13214,139,9,1259,32.0,301.0,Python,NaoTipada
saltstack/salt,https://github.com/saltstack/salt,13190,2447,1570,117346,10333.0,38832.0,Python,NaoTipada
lra/mackup,https://github.com/lra/mackup,13180,417,0,2264,0.0,1256.0,Python,NaoTipada
