nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
nrwl/nx,https://github.com/nrwl/nx,17482,705,326,9184,4291.0,8946.0,Typescript,Tipada
the1812/Bilibili-Evolved,https://github.com/the1812/Bilibili-Evolved,17449,34,41,7303,335.0,321.0,Typescript,Tipada
web3/web3.js,https://github.com/web3/web3.js,17432,240,40,3664,630.0,2288.0,Typescript,Tipada
t3-oss/create-t3-app,https://github.com/t3-oss/create-t3-app,17287,233,0,1059,0.0,997.0,Typescript,Tipada
desktop/desktop,https://github.com/desktop/desktop,17195,370,157,34136,896.0,5283.0,Typescript,Tipada
BuilderIO/qwik,https://github.com/BuilderIO/qwik,17155,342,150,2547,710.0,2668.0,Typescript,Tipada
airbnb/visx,https://github.com/airbnb/visx,17107,152,0,3156,0.0,698.0,Typescript,Tipada
material-components/material-components-web,https://github.com/material-components/material-components-web,16772,388,151,7391,590.0,4987.0,Typescript,Tipada
teambit/bit,https://github.com/teambit/bit,16623,72,0,11773,0.0,5486.0,Typescript,Tipada
darkreader/darkreader,https://github.com/darkreader/darkreader,16620,1082,227,6744,798.0,6683.0,Typescript,Tipada
nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,16438,536,6,2266,453.0,1784.0,Typescript,Tipada
wulkano/Kap,https://github.com/wulkano/Kap,16427,53,22,905,117.0,416.0,Typescript,Tipada
fullcalendar/fullcalendar,https://github.com/fullcalendar/fullcalendar,16357,128,0,6357,0.0,581.0,Typescript,Tipada
sismo-core/sismo-badges,https://github.com/sismo-core/sismo-badges,16141,7,0,307,0.0,65.0,Typescript,Tipada
redis/node-redis,https://github.com/redis/node-redis,16141,224,66,1878,427.0,828.0,Typescript,Tipada
wechaty/wechaty,https://github.com/wechaty/wechaty,16131,85,22,7083,180.0,880.0,Typescript,Tipada
ustbhuangyi/better-scroll,https://github.com/ustbhuangyi/better-scroll,16067,37,0,2001,18.0,210.0,Typescript,Tipada
redwoodjs/redwood,https://github.com/redwoodjs/redwood,15955,361,0,8639,0.0,6294.0,Typescript,Tipada
nhn/tui.editor,https://github.com/nhn/tui.editor,15925,125,231,361,378.0,1511.0,Typescript,Tipada
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,15870,76,46,3054,252.0,1387.0,Typescript,Tipada
remotion-dev/remotion,https://github.com/remotion-dev/remotion,15832,154,8,11140,234.0,1298.0,Typescript,Tipada
yetone/openai-translator,https://github.com/yetone/openai-translator,15722,53,98,428,69.0,197.0,Typescript,Tipada
CopyTranslator/CopyTranslator,https://github.com/CopyTranslator/CopyTranslator,15652,9,6,770,31.0,96.0,Typescript,Tipada
Tencent/vConsole,https://github.com/Tencent/vConsole,15633,54,0,929,1.0,189.0,Typescript,Tipada
flatpickr/flatpickr,https://github.com/flatpickr/flatpickr,15554,244,15,2867,49.0,644.0,Typescript,Tipada
wangeditor-team/wangEditor,https://github.com/wangeditor-team/wangEditor,15486,45,38,2410,303.0,572.0,Typescript,Tipada
wbkd/react-flow,https://github.com/wbkd/react-flow,15456,64,1,3454,31.0,1051.0,Typescript,Tipada
microsoft/fluentui,https://github.com/microsoft/fluentui,15393,796,0,16057,0.0,16131.0,Typescript,Tipada
vueuse/vueuse,https://github.com/vueuse/vueuse,15159,469,0,2687,22.0,1687.0,Typescript,Tipada
