nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
darkreader/darkreader,https://github.com/darkreader/darkreader,16620,1082,227,6744,800.0,6683.0,Typescript,Tipada,1.0091276372886429,5406.0,320.0,29.470972222222223,1027.0
nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,16438,536,6,2266,453.0,1784.0,Typescript,Tipada,1.2701793721973094,497.0,38.0,21.83708333333333,459.0
wulkano/Kap,https://github.com/wulkano/Kap,16427,53,22,905,117.0,416.0,Typescript,Tipada,2.175480769230769,1136.0,27.0,591.7608333333333,139.0
fullcalendar/fullcalendar,https://github.com/fullcalendar/fullcalendar,16357,128,0,6357,0.0,581.0,Typescript,Tipada,10.941480206540447,216.0,127.0,0.0,0.0
sismo-core/sismo-badges,https://github.com/sismo-core/sismo-badges,16141,7,0,307,0.0,65.0,Typescript,Tipada,4.723076923076923,1174.0,140.0,0.0,0.0
redis/node-redis,https://github.com/redis/node-redis,16141,224,66,1878,431.0,828.0,Typescript,Tipada,2.2681159420289854,47.0,0.0,64.10625,497.0
wechaty/wechaty,https://github.com/wechaty/wechaty,16131,85,22,7083,180.0,880.0,Typescript,Tipada,8.048863636363636,1222.0,85.0,71.56097222222223,202.0
ustbhuangyi/better-scroll,https://github.com/ustbhuangyi/better-scroll,16067,37,0,2001,18.0,210.0,Typescript,Tipada,9.528571428571428,2630.0,108.0,301.7108333333333,18.0
redwoodjs/redwood,https://github.com/redwoodjs/redwood,15955,361,0,8639,0.0,6294.0,Typescript,Tipada,1.3725770575150935,13728.0,2629.0,0.0,0.0
nhn/tui.editor,https://github.com/nhn/tui.editor,15925,125,231,361,378.0,1511.0,Typescript,Tipada,0.2389146260754467,6495.0,438.0,526.9659722222223,609.0
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,15870,76,46,3054,283.0,1387.0,Typescript,Tipada,2.2018745493871665,4586.0,607.0,25.08111111111111,329.0
remotion-dev/remotion,https://github.com/remotion-dev/remotion,15832,154,8,11140,238.0,1298.0,Typescript,Tipada,8.582434514637905,10203.0,387.0,42.57458333333334,246.0
yetone/openai-translator,https://github.com/yetone/openai-translator,15722,53,98,428,74.0,197.0,Typescript,Tipada,2.172588832487309,162.0,8.0,28.52388888888889,172.0
CopyTranslator/CopyTranslator,https://github.com/CopyTranslator/CopyTranslator,15652,9,6,770,31.0,96.0,Typescript,Tipada,8.020833333333334,1671.0,172.0,734.9216666666666,37.0
Tencent/vConsole,https://github.com/Tencent/vConsole,15633,54,0,929,1.0,189.0,Typescript,Tipada,4.915343915343915,923.0,134.0,44.22527777777778,1.0
flatpickr/flatpickr,https://github.com/flatpickr/flatpickr,15554,244,15,2867,49.0,644.0,Typescript,Tipada,4.451863354037267,1246.0,94.0,114.54777777777778,64.0
wangeditor-team/wangEditor,https://github.com/wangeditor-team/wangEditor,15486,45,38,2410,303.0,572.0,Typescript,Tipada,4.213286713286713,2889.0,163.0,781.5819444444444,341.0
wbkd/react-flow,https://github.com/wbkd/react-flow,15456,64,1,3454,31.0,1051.0,Typescript,Tipada,3.28639391056137,2442.0,74.0,287.7216666666667,32.0
microsoft/fluentui,https://github.com/microsoft/fluentui,15393,796,0,16057,0.0,16131.0,Typescript,Tipada,0.9954125596677206,4151.0,529.0,0.0,0.0
vueuse/vueuse,https://github.com/vueuse/vueuse,15159,469,0,2687,22.0,1687.0,Typescript,Tipada,1.5927682276229993,5429.0,168.0,582.6176388888889,22.0
mattermost/focalboard,https://github.com/mattermost/focalboard,15057,274,230,3584,1315.0,2318.0,Typescript,Tipada,1.546160483175151,14869.0,1146.0,305.1918055555556,1545.0
justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,14975,22,6,488,4.0,106.0,Typescript,Tipada,4.60377358490566,1292.0,36.0,120.77833333333332,10.0
