nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,10797,13,6,834.0,88,67.0,Java,Tipada
zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,10790,205,122,9006.0,690,3185.0,Java,Tipada
Tencent/matrix,https://github.com/Tencent/matrix,10790,39,20,3302.0,16,238.0,Java,Tipada
dataease/dataease,https://github.com/dataease/dataease,10774,38,0,9498.0,0,3118.0,Java,Tipada
gyf-dev/ImmersionBar,https://github.com/gyf-dev/ImmersionBar,10764,3,0,171.0,8,12.0,Java,Tipada
android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,10657,76,0,899.0,0,287.0,Java,Tipada
grpc/grpc-java,https://github.com/grpc/grpc-java,10534,353,41,5845.0,281,7030.0,Java,Tipada
jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,10517,4,0,250.0,1,19.0,Java,Tipada
lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,10449,29,13,1858.0,65,72.0,Java,Tipada
YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,10446,27,0,1281.0,4,35.0,Java,Tipada
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,10439,22,0,228.0,7,77.0,Java,Tipada
apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,10396,477,160,7790.0,2573,7140.0,Java,Tipada
chefyuan/algorithm-base,https://github.com/chefyuan/algorithm-base,10391,12,0,389.0,0,29.0,Java,Tipada
aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,10383,1404,0,814375.0,0,126.0,Java,Tipada
yuliskov/SmartTubeNext,https://github.com/yuliskov/SmartTubeNext,10262,70,0,7448.0,0,823.0,Java,Tipada
square/javapoet,https://github.com/square/javapoet,10210,108,4,889.0,11,548.0,Java,Tipada
JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms,10207,18,1,1080.0,0,72.0,Java,Tipada
macrozheng/mall-swarm,https://github.com/macrozheng/mall-swarm,10192,1,0,448.0,0,23.0,Java,Tipada
JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,10184,25,0,241.0,0,149.0,Java,Tipada
jhy/jsoup,https://github.com/jhy/jsoup,10119,102,2,1812.0,132,563.0,Java,Tipada
apereo/cas,https://github.com/apereo/cas,10099,313,0,23042.0,0,4308.0,Java,Tipada
google/auto,https://github.com/google/auto,10097,83,0,1610.0,0,1037.0,Java,Tipada
newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,9972,3,0,99.0,0,17.0,Java,Tipada
clojure/clojure,https://github.com/clojure/clojure,9967,156,0,3443.0,0,91.0,Java,Tipada
krahets/hello-algo,https://github.com/krahets/hello-algo,9915,71,0,1261.0,0,372.0,Java,Tipada
LSPosed/LSPosed,https://github.com/LSPosed/LSPosed,9819,63,0,2688.0,193,1613.0,Java,Tipada
wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,9778,16,0,239.0,0,46.0,Java,Tipada
Netflix/conductor,https://github.com/Netflix/conductor,9737,759,0,3162.0,0,1575.0,Java,Tipada
YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation,9729,17,0,612.0,10,43.0,Java,Tipada
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,9719,78,7,1128.0,109,365.0,Java,Tipada
HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,9700,7,0,97.0,0,26.0,Java,Tipada
alibaba/COLA,https://github.com/alibaba/COLA,9690,26,0,379.0,0,154.0,Java,Tipada
HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,9699,7,0,97.0,0,26.0,Java,Tipada
googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,9680,39,3,184.0,3,117.0,Java,Tipada
react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,9628,364,0,311.0,1699,1093.0,Java,Tipada
liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,9618,9,0,182.0,1,49.0,Java,Tipada
ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,9617,14,0,383.0,0,25.0,Java,Tipada
paascloud/paascloud-master,https://github.com/paascloud/paascloud-master,9586,6,0,46.0,0,46.0,Java,Tipada
doocs/jvm,https://github.com/doocs/jvm,9479,370,0,135.0,0,18.0,Java,Tipada
OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,9471,303,159,7552.0,0,2984.0,Java,Tipada
perwendel/spark,https://github.com/perwendel/spark,9470,137,19,1067.0,23,525.0,Java,Tipada
umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,9461,49,4,361.0,27,168.0,Java,Tipada
