nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
pure-css/pure,https://github.com/pure-css/pure,22982,70,0,870.0,56.0,541.0,Javascript,NaoTipada,1.6081330868761552,92,43,3799.072361111111,56.0
ramda/ramda,https://github.com/ramda/ramda,22963,316,5,2987.0,24.0,1734.0,Javascript,NaoTipada,1.7226066897347174,3658,2749,627.7873611111111,29.0
dimsemenov/PhotoSwipe,https://github.com/dimsemenov/PhotoSwipe,22834,70,22,697.0,20.0,223.0,Javascript,NaoTipada,3.125560538116592,2602,120,262.44069444444443,42.0
eslint/eslint,https://github.com/eslint/eslint,22620,950,28,8901.0,2626.0,6724.0,Javascript,NaoTipada,1.3237656157049376,7451,2229,51.060138888888886,2654.0
balderdashy/sails,https://github.com/balderdashy/sails,22562,240,24,7161.0,134.0,926.0,Javascript,NaoTipada,7.733261339092873,3839,1242,2290.0550000000003,158.0
ovity/octotree,https://github.com/ovity/octotree,22451,66,0,718.0,0.0,385.0,Javascript,NaoTipada,1.864935064935065,639,521,0.0,0.0
emberjs/ember.js,https://github.com/emberjs/ember.js,22450,819,63,22082.0,1195.0,10134.0,Javascript,NaoTipada,2.17900138148806,12400,302,670.3040277777777,1258.0
redux-saga/redux-saga,https://github.com/redux-saga/redux-saga,22443,320,9,1939.0,40.0,873.0,Javascript,NaoTipada,2.221076746849943,3594,460,803.9825,49.0
facebookarchive/draft-js,https://github.com/facebookarchive/draft-js,22379,251,69,1201.0,71.0,1363.0,Javascript,NaoTipada,0.8811445341159208,1879,82,1073.2147222222222,140.0
lutzroeder/netron,https://github.com/lutzroeder/netron,22306,1,4,6705.0,220.0,162.0,Javascript,NaoTipada,41.388888888888886,38995,2156,6.614166666666667,224.0
zloirock/core-js,https://github.com/zloirock/core-js,22293,118,2,5204.0,40.0,321.0,Javascript,NaoTipada,16.21183800623053,13618,9626,8.199861111111112,42.0
localForage/localForage,https://github.com/localForage/localForage,22194,104,10,1124.0,25.0,372.0,Javascript,NaoTipada,3.021505376344086,2081,722,539.0741666666667,35.0
OpenZeppelin/openzeppelin-contracts,https://github.com/OpenZeppelin/openzeppelin-contracts,22162,419,1,3171.0,35.0,2505.0,Javascript,NaoTipada,1.2658682634730538,3683,30,1282.6177777777775,36.0
Tencent/wepy,https://github.com/Tencent/wepy,22108,170,9,2454.0,51.0,692.0,Javascript,NaoTipada,3.546242774566474,3734,341,575.7686111111111,60.0
bilibili/flv.js,https://github.com/bilibili/flv.js,22101,39,0,431.0,0.0,77.0,Javascript,NaoTipada,5.597402597402597,1644,87,0.0,0.0
mochajs/mocha,https://github.com/mochajs/mocha,21993,484,0,3601.0,0.0,2045.0,Javascript,NaoTipada,1.760880195599022,4799,1755,0.0,0.0
goldfire/howler.js,https://github.com/goldfire/howler.js,21639,94,22,889.0,21.0,263.0,Javascript,NaoTipada,3.3802281368821294,288,179,845.0102777777778,43.0
bevacqua/dragula,https://github.com/bevacqua/dragula,21524,40,10,366.0,17.0,189.0,Javascript,NaoTipada,1.9365079365079363,373,275,307.2911111111111,27.0
jlmakes/scrollreveal,https://github.com/jlmakes/scrollreveal,21495,22,9,950.0,72.0,53.0,Javascript,NaoTipada,17.92452830188679,135,4,82.60430555555556,81.0
vuejs/vuepress,https://github.com/vuejs/vuepress,21492,428,0,2145.0,81.0,1216.0,Javascript,NaoTipada,1.7639802631578947,749,47,145.14666666666668,81.0
highlightjs/highlight.js,https://github.com/highlightjs/highlight.js,21466,639,26,6508.0,493.0,1801.0,Javascript,NaoTipada,3.613548028872848,989,513,25.777638888888887,519.0
chenglou/react-motion,https://github.com/chenglou/react-motion,21456,72,1,809.0,15.0,228.0,Javascript,NaoTipada,3.548245614035088,514,45,421.68361111111113,16.0
jaredhanson/passport,https://github.com/jaredhanson/passport,21439,34,1,617.0,2.0,150.0,Javascript,NaoTipada,4.113333333333333,1648,593,1754.5087499999995,3.0
validatorjs/validator.js,https://github.com/validatorjs/validator.js,21239,445,0,2205.0,0.0,1221.0,Javascript,NaoTipada,1.805896805896806,300,1,0.0,0.0
pugjs/pug,https://github.com/pugjs/pug,21224,252,13,2572.0,108.0,853.0,Javascript,NaoTipada,3.015240328253224,1551,910,1592.5569444444443,121.0
zadam/trilium,https://github.com/zadam/trilium,21079,82,0,6374.0,378.0,286.0,Javascript,NaoTipada,22.286713286713287,30119,9193,23.12680555555556,378.0
gchq/CyberChef,https://github.com/gchq/CyberChef,21068,225,71,3570.0,170.0,613.0,Javascript,NaoTipada,5.823817292006526,6510,456,677.7569444444443,241.0
paularmstrong/normalizr,https://github.com/paularmstrong/normalizr,20985,60,0,455.0,0.0,193.0,Javascript,NaoTipada,2.357512953367876,402,10,0.0,0.0
postcss/autoprefixer,https://github.com/postcss/autoprefixer,20972,192,5,2610.0,95.0,335.0,Javascript,NaoTipada,7.791044776119403,463,82,142.71194444444444,100.0
necolas/react-native-web,https://github.com/necolas/react-native-web,20722,166,7,1930.0,122.0,699.0,Javascript,NaoTipada,2.761087267525036,3290,94,74.18847222222223,129.0
ai/nanoid,https://github.com/ai/nanoid,20681,119,0,968.0,0.0,202.0,Javascript,NaoTipada,4.792079207920792,258,12,0.0,0.0
js-cookie/js-cookie,https://github.com/js-cookie/js-cookie,20626,48,0,868.0,92.0,256.0,Javascript,NaoTipada,3.390625,249,71,1.4925000000000002,92.0
winstonjs/winston,https://github.com/winstonjs/winston,20463,356,74,1515.0,65.0,917.0,Javascript,NaoTipada,1.6521264994547438,546,147,2628.213611111112,139.0
Meituan-Dianping/mpvue,https://github.com/Meituan-Dianping/mpvue,20424,166,3,2328.0,22.0,148.0,Javascript,NaoTipada,15.72972972972973,2986,597,89.2526388888889,25.0
avajs/ava,https://github.com/avajs/ava,20338,300,11,1965.0,233.0,1378.0,Javascript,NaoTipada,1.4259796806966618,2727,36,812.2580555555555,244.0
eligrey/FileSaver.js,https://github.com/eligrey/FileSaver.js,20320,58,0,332.0,6.0,163.0,Javascript,NaoTipada,2.03680981595092,59,26,5238.63,6.0
benweet/stackedit,https://github.com/benweet/stackedit,20306,9,29,313.0,69.0,132.0,Javascript,NaoTipada,2.371212121212121,4668,321,476.1588888888889,98.0
petkaantonov/bluebird,https://github.com/petkaantonov/bluebird,20288,243,11,2112.0,57.0,550.0,Javascript,NaoTipada,3.84,9589,5362,380.90972222222223,68.0
parse-community/parse-server,https://github.com/parse-community/parse-server,20226,298,0,4179.0,231.0,4135.0,Javascript,NaoTipada,1.0106408706166867,16870,864,515.2186111111112,231.0
