nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
markedjs/marked,https://github.com/markedjs/marked,29641,158,0,2987.0,0.0,0.0,1402.0
vuejs/vue-cli,https://github.com/vuejs/vue-cli,29638,515,38,3531.0,162.72972222222222,272.0,1802.0
typicode/husky,https://github.com/typicode/husky,29378,105,0,866.0,1185.600416666667,14.0,351.0
react-boilerplate/react-boilerplate,https://github.com/react-boilerplate/react-boilerplate,29125,222,0,1457.0,237.6590277777778,145.0,1194.0
odoo/odoo,https://github.com/odoo/odoo,28991,2267,0,159120.0,0.0,0.0,103222.0
airbnb/lottie-web,https://github.com/airbnb/lottie-web,28379,108,3,2357.0,10667.609444444444,6.0,218.0
goabstract/Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,28320,232,0,1649.0,0.0,0.0,385.0
vuejs/vuex,https://github.com/vuejs/vuex,28020,354,1,1209.0,239.4508333333333,17.0,961.0
jashkenas/backbone,https://github.com/jashkenas/backbone,28003,324,4,3454.0,42.18861111111111,186.0,1849.0
kenwheeler/slick,https://github.com/kenwheeler/slick,27965,151,0,925.0,0.0,0.0,686.0
Kong/insomnia,https://github.com/Kong/insomnia,27951,307,0,4006.0,0.0,0.0,2380.0
Binaryify/NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,27854,83,0,1317.0,65.85111111111111,13.0,410.0
caolan/async,https://github.com/caolan/async,27853,232,0,1883.0,256.37319444444444,76.0,780.0
webtorrent/webtorrent,https://github.com/webtorrent/webtorrent,27836,174,22,3314.0,633.8052777777777,90.0,880.0
sequelize/sequelize,https://github.com/sequelize/sequelize,27826,1049,0,10013.0,703.1938888888889,1243.0,5564.0
pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching,27448,255,0,2768.0,0.0,0.0,593.0
layui/layui,https://github.com/layui/layui,27295,41,0,1202.0,26914.08944444445,1.0,412.0
fastify/fastify,https://github.com/fastify/fastify,27217,622,1,3649.0,122.88444444444444,203.0,2772.0
VincentGarreau/particles.js,https://github.com/VincentGarreau/particles.js,27129,14,1,235.0,7814.612916666667,2.0,110.0
jashkenas/underscore,https://github.com/jashkenas/underscore,26947,283,1,2830.0,134.7698611111111,112.0,1551.0
transloadit/uppy,https://github.com/transloadit/uppy,26811,370,75,9236.0,94.22791666666666,646.0,2411.0
SortableJS/Sortable,https://github.com/SortableJS/Sortable,26782,152,21,1080.0,242.6651388888889,74.0,492.0
GoogleChrome/lighthouse,https://github.com/GoogleChrome/lighthouse,26466,325,119,5668.0,65.10222222222222,629.0,5475.0
parallax/jsPDF,https://github.com/parallax/jsPDF,26442,194,39,2267.0,5181.094722222222,122.0,1229.0
TheAlgorithms/JavaScript,https://github.com/TheAlgorithms/JavaScript,26394,349,2,1732.0,82.90736111111111,8.0,1128.0
OAI/OpenAPI-Specification,https://github.com/OAI/OpenAPI-Specification,26375,211,2,1962.0,1074.7791666666665,8.0,1061.0
YMFE/yapi,https://github.com/YMFE/yapi,25994,90,0,5802.0,22.30097222222222,6.0,289.0
codemirror/codemirror5,https://github.com/codemirror/codemirror5,25852,860,0,7142.0,0.0,0.0,2867.0
github/fetch,https://github.com/github/fetch,25712,123,0,656.0,3770.634583333333,2.0,301.0
Automattic/mongoose,https://github.com/Automattic/mongoose,25631,959,0,19225.0,0.0,0.0,3033.0
request/request,https://github.com/request/request,25630,311,1,2270.0,0.0,0.0,1174.0
digitalocean/nginxconfig.io,https://github.com/digitalocean/nginxconfig.io,25620,69,3,293.0,743.3415277777777,6.0,206.0
ajaxorg/ace,https://github.com/ajaxorg/ace,25614,465,51,8420.0,800.7620833333333,113.0,2108.0
select2/select2,https://github.com/select2/select2,25594,505,0,2654.0,0.0,0.0,1491.0
GitbookIO/gitbook,https://github.com/GitbookIO/gitbook,25548,101,0,2379.0,0.0,0.0,386.0
Modernizr/Modernizr,https://github.com/Modernizr/Modernizr,25453,301,0,2613.0,0.0,0.0,1221.0
jamiebuilds/the-super-tiny-compiler,https://github.com/jamiebuilds/the-super-tiny-compiler,25380,18,0,13.0,0.0,0.0,59.0
qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,25380,29,3,753.0,265.95930555555555,8.0,192.0
